rank  organ         case                               slice    id      dice    area
141   RAG           CT_Abd_FLARE22_Tr_0014.npz            46     7    0.5699     167
142   Esophagus     CT_Abd_FLARE22_Tr_0026.npz            45    10    0.5747     248
143   Pancreas      CT_Abd_FLARE22_Tr_0032.npz            55     4    0.5758     254
144   RAG           CT_Abd_FLARE22_Tr_0040.npz            50     7    0.5761     171
145   RAG           CT_Abd_FLARE22_Tr_0014.npz            45     7    0.5762     128
146   RAG           CT_Abd_FLARE22_Tr_0012.npz            51     7    0.5802     252
147   Pancreas      CT_Abd_FLARE22_Tr_0030.npz            41     4    0.5804     346
148   Esophagus     CT_Abd_FLARE22_Tr_0028.npz            82    10    0.5811     293
149   RAG           CT_Abd_FLARE22_Tr_0012.npz            50     7    0.5826     257
150   Pancreas      CT_Abd_FLARE22_Tr_0020.npz            57     4    0.5881     224
151   Esophagus     CT_Abd_FLARE22_Tr_0010.npz            95    10    0.5928     267
152   RAG           CT_Abd_FLARE22_Tr_0039.npz            46     7    0.5932     157
153   Esophagus     CT_Abd_FLARE22_Tr_0031.npz            99    10    0.5994     104
154   Esophagus     CT_Abd_FLARE22_Tr_0002.npz            94    10    0.6036     535
155   Esophagus     CT_Abd_FLARE22_Tr_0029.npz            81    10    0.6038     259
156   Esophagus     CT_Abd_FLARE22_Tr_0028.npz            84    10    0.6040     257
157   LAG           CT_Abd_FLARE22_Tr_0039.npz            45     8    0.6195     219
158   RAG           CT_Abd_FLARE22_Tr_0028.npz            55     7    0.6207     149
159   Pancreas      CT_Abd_FLARE22_Tr_0036.npz            46     4    0.6250     161
160   RAG           CT_Abd_FLARE22_Tr_0017.npz            63     7    0.6307     339
161   Esophagus     CT_Abd_FLARE22_Tr_0003.npz            97    10    0.6350     270
162   RAG           CT_Abd_FLARE22_Tr_0024.npz            50     7    0.6377     206
163   RAG           CT_Abd_FLARE22_Tr_0025.npz            44     7    0.6384     155
164   Pancreas      CT_Abd_FLARE22_Tr_0001.npz            24     4    0.6436     274
165   Pancreas      CT_Abd_FLARE22_Tr_0040.npz            24     4    0.6479     349
166   Pancreas      CT_Abd_FLARE22_Tr_0032.npz            30     4    0.6549     159
167   LAG           CT_Abd_FLARE22_Tr_0001.npz            44     8    0.6610     127
168   Esophagus     CT_Abd_FLARE22_Tr_0038.npz           108    10    0.6618     157
169   RAG           CT_Abd_FLARE22_Tr_0024.npz            56     7    0.6622     208
170   Esophagus     CT_Abd_FLARE22_Tr_0028.npz            85    10    0.6649     269
171   LAG           CT_Abd_FLARE22_Tr_0024.npz            48     8    0.6649     283
172   Esophagus     CT_Abd_FLARE22_Tr_0028.npz            81    10    0.6651     322
173   Pancreas      CT_Abd_FLARE22_Tr_0025.npz            20     4    0.6686     244
174   RAG           CT_Abd_FLARE22_Tr_0017.npz            64     7    0.6690     398
175   Pancreas      CT_Abd_FLARE22_Tr_0036.npz            50     4    0.6758     141
176   Pancreas      CT_Abd_FLARE22_Tr_0031.npz            24     4    0.6761     160
177   Pancreas      CT_Abd_FLARE22_Tr_0038.npz            53     4    0.6766     940
178   RAG           CT_Abd_FLARE22_Tr_0003.npz            63     7    0.6817     354
179   Esophagus     CT_Abd_FLARE22_Tr_0029.npz            90    10    0.6819     238
180   Pancreas      CT_Abd_FLARE22_Tr_0035.npz            28     4    0.6883     452
181   RAG           CT_Abd_FLARE22_Tr_0004.npz            51     7    0.6949     318
182   RAG           CT_Abd_FLARE22_Tr_0033.npz            64     7    0.6972     165
183   Pancreas      CT_Abd_FLARE22_Tr_0038.npz            52     4    0.7022     984
184   RAG           CT_Abd_FLARE22_Tr_0008.npz            50     7    0.7082     133
185   Pancreas      CT_Abd_FLARE22_Tr_0038.npz            54     4    0.7112     828
186   RAG           CT_Abd_FLARE22_Tr_0038.npz            63     7    0.7136     147
187   LAG           CT_Abd_FLARE22_Tr_0002.npz            71     8    0.7153     236
188   Esophagus     CT_Abd_FLARE22_Tr_0021.npz            72    10    0.7188     573
189   RAG           CT_Abd_FLARE22_Tr_0020.npz            54     7    0.7195     131
190   Esophagus     CT_Abd_FLARE22_Tr_0021.npz            74    10    0.7204     486
191   RAG           CT_Abd_FLARE22_Tr_0007.npz            61     7    0.7209     141
192   Pancreas      CT_Abd_FLARE22_Tr_0038.npz            51     4    0.7253     984
193   RAG           CT_Abd_FLARE22_Tr_0038.npz            69     7    0.7260     165
194   LAG           CT_Abd_FLARE22_Tr_0002.npz            51     8    0.7322     115
195   Esophagus     CT_Abd_FLARE22_Tr_0010.npz            93    10    0.7335     284
196   LAG           CT_Abd_FLARE22_Tr_0031.npz            47     8    0.7342     123
197   LAG           CT_Abd_FLARE22_Tr_0019.npz            33     8    0.7348     138
198   Esophagus     CT_Abd_FLARE22_Tr_0021.npz            73    10    0.7433     562
199   Pancreas      CT_Abd_FLARE22_Tr_0039.npz            44     4    0.7459     898
